fpr,tpr,threshold
0.9227478610971314,0.9872568745808182,0.8352382049489032
0.923376950176145,0.9872568745808182,0.8349340733148832
0.9236285858077504,0.9872568745808182,0.8346188566121401
0.9240060392551586,0.9872568745808182,0.8337325800638488
0.9241318570709612,0.9872568745808182,0.8334284484298288
0.9242576748867639,0.9872568745808182,0.8177516659648568
0.9246351283341722,0.9872568745808182,0.8157210975759936
0.9247609461499748,0.9872568745808182,0.813150799308925
0.9250125817815803,0.9872568745808182,0.8129366399179582
0.9257674886763966,0.9879275653923542,0.8124885708018008
0.9258933064921993,0.9879275653923542,0.8115584383521958
0.9261449421238047,0.9879275653923542,0.8114310150329038
0.9262707599396075,0.9879275653923542,0.8113442789612291
0.9267740312028183,0.9879275653923542,0.8109829459167464
0.9276547559134374,0.9879275653923542,0.8104580024129376
